City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,hithadhoo,100,MV,1536526084,100,-0.6,73.08,83.17,10.54
88,butaritari,88,KI,1536526076,100,3.07,172.79,79.66,9.19
89,port hardy,75,CA,1536523200,87,50.7,-127.42,59.0,6.93
90,torbay,75,CA,1536523200,71,47.66,-52.73,53.6,8.05
91,ahuimanu,1,US,1536523020,74,21.44,-157.84,84.92,5.82
92,horta,0,ES,1536525000,78,41.43,2.16,77.0,3.36
93,saint george,20,GR,1536522600,64,39.45,22.34,68.0,3.36
94,komsomolskiy,56,RU,1536526085,82,67.55,63.78,29.71,2.71
95,iqaluit,75,CA,1536523200,70,63.75,-68.52,44.6,19.46
96,sibolga,80,ID,1536526085,100,1.74,98.78,67.6,1.92
97,vila,0,IT,1536524400,82,45.18,8.4,69.8,3.36
98,saskylakh,76,RU,1536526086,86,71.97,114.09,31.87,3.83
99,kaitangata,76,NZ,1536526086,94,-46.28,169.85,42.4,5.84
100,mumford,12,GH,1536526086,95,5.26,-0.76,73.99,8.41
101,chuy,8,UY,1536526086,80,-33.69,-53.46,57.79,13.44
102,coos bay,1,US,1536524100,69,43.37,-124.22,64.04,11.41
103,ust-maya,88,RU,1536526087,89,60.42,134.54,33.76,5.84
104,nelson bay,0,AU,1536525000,76,-32.72,152.14,50.0,8.05
105,okoneshnikovo,32,RU,1536526087,85,54.84,75.08,54.28,13.44
106,rio de jesus,92,PA,1536526087,95,7.98,-81.16,77.86,2.82
107,mahebourg,20,MU,1536523200,68,-20.41,57.7,69.8,12.75
108,stromness,90,CA,1536523200,58,42.87,-79.55,59.0,28.86
109,port hedland,0,AU,1536525000,51,-20.31,118.58,60.8,5.82
110,hasaki,75,JP,1536523200,100,35.73,140.83,75.2,4.7
111,ahipara,92,NZ,1536526088,100,-35.17,173.16,51.49,7.4
112,thunder bay,75,CA,1536523200,63,48.41,-89.26,64.4,11.41
113,richards bay,32,ZA,1536526089,86,-28.77,32.06,56.8,13.56
114,ponta do sol,0,BR,1536526089,39,-20.63,-46.0,73.99,2.71
115,airai,0,TL,1536526089,81,-8.93,125.41,56.08,1.81
116,puke,0,AL,1536525000,44,42.04,19.9,77.0,5.82
117,mount gambier,92,AU,1536525969,92,-37.83,140.78,53.74,3.71
118,walvis bay,0,NA,1536526089,98,-22.95,14.51,58.6,4.16
119,banda aceh,92,ID,1536525792,98,5.56,95.32,74.35,2.93
120,olden,75,NO,1536524400,48,61.84,6.81,62.6,23.04
121,ariquemes,44,BR,1536526090,25,-9.91,-63.03,97.66,2.71
122,qaanaaq,0,GL,1536526090,100,77.48,-69.36,29.26,7.18
123,bellavista,92,CO,1536526091,90,6.57,-76.89,76.96,2.93
124,nanortalik,8,GL,1536526091,95,60.14,-45.24,42.13,8.19
125,los llanos de aridane,20,ES,1536525000,69,28.66,-17.92,73.4,16.11
126,geraldton,75,CA,1536523200,42,49.72,-86.95,64.4,18.34
127,luderitz,0,NA,1536526091,64,-26.65,15.16,56.62,5.73
128,macheng,76,CN,1536526092,82,31.18,115.03,60.76,2.93
129,presidente venceslau,0,BR,1536523200,24,-21.88,-51.85,93.2,2.48
130,bethel,1,US,1536522780,74,60.79,-161.76,51.98,8.05
131,inirida,24,CO,1536526093,76,3.87,-67.92,84.7,2.26
132,aykhal,44,RU,1536526093,100,65.95,111.51,26.56,2.71
133,avarua,20,CK,1536523200,74,-21.21,-159.78,80.6,4.7
134,vila velha,0,BR,1536523200,65,-3.71,-38.6,82.4,13.87
135,lorengau,92,PG,1536526093,100,-2.02,147.27,78.22,6.96
136,arraial do cabo,0,BR,1536523200,57,-22.97,-42.02,75.2,10.29
137,prescott,40,US,1536522780,17,34.54,-112.47,89.06,13.87
138,rocklin,1,US,1536525300,28,38.79,-121.24,87.8,4.7
139,port elizabeth,90,US,1536524880,92,39.31,-74.98,64.04,14.99
140,boden,75,SE,1536524400,93,65.83,21.69,57.2,1.12
141,ribeira grande,20,PT,1536523200,73,38.52,-28.7,77.0,2.24
142,caceres,44,CO,1536526095,67,5.53,-74.53,78.22,2.26
143,majene,36,ID,1536526095,98,-3.54,118.97,82.18,7.85
144,jamsa,75,FI,1536524400,87,61.86,25.19,59.0,4.7
145,guerrero negro,0,MX,1536526095,53,27.97,-114.04,87.85,9.42
146,sokoto,24,NG,1536526095,96,13.06,5.24,71.92,4.61
147,bushenyi,0,UG,1536526095,89,-0.54,30.19,60.22,2.59
148,aquiraz,0,BR,1536523200,65,-3.9,-38.39,82.4,13.87
149,christchurch,36,NZ,1536525000,86,-43.53,172.64,41.0,1.12
150,abu kamal,0,SY,1536526096,37,34.45,40.92,73.45,5.06
151,norman wells,75,CA,1536523200,70,65.28,-126.83,44.6,3.27
152,fortuna,40,ES,1536525000,73,38.18,-1.13,77.0,5.82
153,hualmay,24,PE,1536526096,69,-11.1,-77.61,68.32,6.06
154,hermanus,0,ZA,1536526097,94,-34.42,19.24,37.09,3.6
155,tuatapere,88,NZ,1536526097,100,-46.13,167.69,46.27,4.61
156,lebu,40,ET,1536523200,77,8.96,38.73,59.0,4.7
157,camopi,68,GF,1536526097,100,3.17,-52.33,74.35,2.59
158,kropotkin,44,RU,1536526097,88,45.43,40.58,64.72,7.96
159,bhavnagar,0,IN,1536526097,90,21.77,72.14,75.34,7.63
160,mackay,90,CA,1536523200,71,53.65,-115.58,50.0,10.29
161,ostersund,75,SE,1536524400,67,63.18,14.64,57.2,11.41
162,bartlett,75,US,1536524100,63,41.89,-98.55,72.5,11.41
163,saint-augustin,0,FR,1536525000,94,44.83,-0.61,68.0,3.36
164,verkhnetulomskiy,0,RU,1536523200,86,68.61,31.8,41.0,2.24
165,grants pass,1,US,1536522960,54,42.44,-123.33,75.02,2.48
166,codrington,0,AU,1536526099,83,-28.95,153.24,48.61,2.82
167,meiktila,68,MM,1536526013,96,20.88,95.86,71.38,4.94
168,oussouye,40,SN,1536523200,83,12.49,-16.54,82.4,4.7
169,lokachi,56,UA,1536525811,62,50.74,24.65,62.38,10.76
170,yellowknife,40,CA,1536523200,49,62.45,-114.38,46.4,4.7
171,itarema,0,BR,1536526100,46,-2.92,-39.92,85.78,9.86
172,kruisfontein,0,ZA,1536526100,100,-34.0,24.73,51.94,3.15
173,gisborne,0,NZ,1536526100,70,-38.66,178.02,48.88,7.74
174,tocopilla,0,CL,1536526100,90,-22.09,-70.2,63.46,5.61
175,lavrentiya,8,RU,1536525856,91,65.58,-170.99,51.04,2.26
176,barabinsk,12,RU,1536526100,94,55.35,78.35,51.49,12.44
177,barranca,12,PE,1536526101,99,-10.75,-77.76,61.84,8.97
178,saint-joseph,0,FR,1536525000,77,43.56,6.97,73.4,3.36
179,san juan,20,PR,1536522960,67,18.47,-66.12,86.0,12.75
180,cartagena,75,ES,1536525000,83,37.63,-1.0,77.0,3.36
181,port blair,48,IN,1536526102,100,11.67,92.75,80.38,5.84
182,tianpeng,80,CN,1536526103,89,28.88,112.34,66.25,2.15
183,palu,68,ID,1536526103,96,-0.9,119.87,66.07,1.59
184,alugan,8,PH,1536526103,100,12.22,125.48,78.04,4.5
185,hovd,0,NO,1536524400,63,63.83,10.7,62.6,21.92
186,lagoa,20,PT,1536525000,57,37.14,-8.45,75.2,8.05
187,alice springs,0,AU,1536525000,29,-23.7,133.88,39.2,4.7
188,mamallapuram,20,IN,1536525000,70,12.63,80.17,84.2,5.82
189,shimoda,75,JP,1536522720,94,34.7,138.93,73.4,3.36
190,kiama,20,AU,1536523200,81,-34.67,150.86,46.4,3.36
191,san andres,8,PH,1536526105,100,13.32,122.68,82.36,14.23
192,victoria,90,BN,1536525000,94,5.28,115.24,78.8,2.59
193,kenai,1,US,1536522960,53,60.55,-151.26,59.0,6.93
194,roebourne,0,AU,1536526105,81,-20.77,117.15,60.4,10.54
195,ostrovnoy,24,RU,1536526106,93,68.05,39.51,46.99,7.18
196,cidreira,80,BR,1536526106,78,-30.17,-50.22,63.01,15.01
197,broome,0,GB,1536524400,72,52.47,1.45,63.5,8.05
198,muromtsevo,92,RU,1536526106,96,56.37,75.24,54.37,14.45
199,limbe,80,MW,1536526106,85,-15.81,35.05,68.32,3.71
200,namibe,24,AO,1536526107,100,-15.19,12.15,64.0,4.16
201,macamic,20,CA,1536523200,67,48.75,-79.0,60.8,6.93
202,cayenne,0,GF,1536523200,55,4.94,-52.33,89.6,10.29
203,port augusta,0,AU,1536523200,81,-32.49,137.76,42.8,5.82
204,sfantu gheorghe,0,RO,1536525000,87,44.65,26.83,60.8,1.12
205,avera,40,US,1536525300,39,33.19,-82.53,96.98,6.93
206,umm lajj,0,SA,1536526108,100,25.02,37.27,79.21,6.06
207,constitucion,90,MX,1536522840,100,23.99,-104.67,64.4,9.17
208,nouadhibou,76,MR,1536523200,61,20.93,-17.03,77.0,16.11
209,bathsheba,20,BB,1536523200,70,13.22,-59.52,86.0,13.87
210,azangaro,40,PE,1536523200,18,-14.91,-70.2,60.8,8.05
211,laguna,75,MX,1536522060,43,27.52,-110.01,91.4,5.82
212,cherskiy,0,RU,1536525842,54,68.75,161.3,56.44,11.21
213,aklavik,90,CA,1536523200,65,68.22,-135.01,46.4,8.05
214,touros,0,BR,1536526109,70,-5.2,-35.46,78.85,16.46
215,byron bay,0,AU,1536525000,100,-28.65,153.62,55.4,3.36
216,kokoda,92,PG,1536526110,100,-8.88,147.74,62.29,2.15
217,dunedin,92,NZ,1536526110,98,-45.87,170.5,39.16,2.82
218,mount darwin,0,ZW,1536526110,70,-16.77,31.58,66.43,5.73
219,pimentel,8,BR,1536526111,58,-3.7,-45.5,84.52,4.94
220,wanaka,92,NZ,1536526111,98,-44.7,169.14,37.81,2.71
221,dwarka,40,IN,1536523200,94,28.58,77.04,80.6,4.94
222,leningradskiy,8,RU,1536526111,71,69.38,178.42,50.95,4.94
223,pisco,0,PE,1536523200,30,-13.71,-76.2,71.6,10.29
